index,year,month,dow,sex,count
236,1995,May,Sat,F,16948
237,1995,May,Sat,M,17978
238,1995,Jun,Sun,F,15995
239,1995,Jun,Sun,M,16731
240,1995,Jun,Mon,F,21731
241,1995,Jun,Mon,M,22971
242,1995,Jun,Tue,F,23537
243,1995,Jun,Tue,M,25158
244,1995,Jun,Wed,F,23381
245,1995,Jun,Wed,M,24592
246,1995,Jun,Thu,F,29395
247,1995,Jun,Thu,M,31061
248,1995,Jun,Fri,F,29113
249,1995,Jun,Fri,M,30714
250,1995,Jun,Sat,F,17375
251,1995,Jun,Sat,M,18330
252,1995,Jul,Sun,F,20764
253,1995,Jul,Sun,M,21420
254,1995,Jul,Mon,F,27518
255,1995,Jul,Mon,M,29028
256,1995,Jul,Tue,F,22920
257,1995,Jul,Tue,M,24136
258,1995,Jul,Wed,F,23475
259,1995,Jul,Wed,M,24568
260,1995,Jul,Thu,F,24579
261,1995,Jul,Thu,M,25483
262,1995,Jul,Fri,F,24858
263,1995,Jul,Fri,M,25667
264,1995,Jul,Sat,F,22700
265,1995,Jul,Sat,M,24064
266,1995,Aug,Sun,F,16390
267,1995,Aug,Sun,M,17342
268,1995,Aug,Mon,F,22255
269,1995,Aug,Mon,M,23221
270,1995,Aug,Tue,F,30658
271,1995,Aug,Tue,M,32161
272,1995,Aug,Wed,F,29911
273,1995,Aug,Wed,M,31568
274,1995,Aug,Thu,F,30062
275,1995,Aug,Thu,M,31633
276,1995,Aug,Fri,F,24072
277,1995,Aug,Fri,M,24876
278,1995,Aug,Sat,F,17810
279,1995,Aug,Sat,M,19063
280,1995,Sep,Sun,F,16896
281,1995,Sep,Sun,M,17564
282,1995,Sep,Mon,F,21145
283,1995,Sep,Mon,M,22095
284,1995,Sep,Tue,F,24536
285,1995,Sep,Tue,M,25279
286,1995,Sep,Wed,F,24611
287,1995,Sep,Wed,M,25736
288,1995,Sep,Thu,F,24923
289,1995,Sep,Thu,M,26337
290,1995,Sep,Fri,F,30860
291,1995,Sep,Fri,M,32723
292,1995,Sep,Sat,F,22690
293,1995,Sep,Sat,M,24012
294,1995,Oct,Sun,F,19681
295,1995,Oct,Sun,M,20596
296,1995,Oct,Mon,F,26773
297,1995,Oct,Mon,M,27905
298,1995,Oct,Tue,F,29119
299,1995,Oct,Tue,M,30224
300,1995,Oct,Wed,F,23102
301,1995,Oct,Wed,M,24058
302,1995,Oct,Thu,F,23075
303,1995,Oct,Thu,M,24210
304,1995,Oct,Fri,F,22705
305,1995,Oct,Fri,M,23559
306,1995,Oct,Sat,F,17553
307,1995,Oct,Sat,M,17751
308,1995,Nov,Sun,F,15157
309,1995,Nov,Sun,M,15903
310,1995,Nov,Mon,F,21398
311,1995,Nov,Mon,M,22444
312,1995,Nov,Tue,F,23403
313,1995,Nov,Tue,M,24638
314,1995,Nov,Wed,F,28201
315,1995,Nov,Wed,M,29551
316,1995,Nov,Thu,F,26220
317,1995,Nov,Thu,M,27430
318,1995,Nov,Fri,F,21139
319,1995,Nov,Fri,M,22047
320,1995,Nov,Sat,F,16431
321,1995,Nov,Sat,M,17168
322,1995,Dec,Sun,F,18403
323,1995,Dec,Sun,M,19282
324,1995,Dec,Mon,F,19124
325,1995,Dec,Mon,M,19855
326,1995,Dec,Tue,F,22318
327,1995,Dec,Tue,M,23142
328,1995,Dec,Wed,F,22646
329,1995,Dec,Wed,M,23712
330,1995,Dec,Thu,F,23003
331,1995,Dec,Thu,M,24148
332,1995,Dec,Fri,F,28017
333,1995,Dec,Fri,M,29274
334,1995,Dec,Sat,F,20609
335,1995,Dec,Sat,M,21723
336,1996,Jan,Sun,F,15037
337,1996,Jan,Sun,M,15644
338,1996,Jan,Mon,F,23752
339,1996,Jan,Mon,M,24899
340,1996,Jan,Tue,F,26480
341,1996,Jan,Tue,M,27995
342,1996,Jan,Wed,F,27029
343,1996,Jan,Wed,M,28486
344,1996,Jan,Thu,F,22358
345,1996,Jan,Thu,M,23272
346,1996,Jan,Fri,F,22193
347,1996,Jan,Fri,M,23237
348,1996,Jan,Sat,F,16715
349,1996,Jan,Sat,M,17474
350,1996,Feb,Sun,F,15121
351,1996,Feb,Sun,M,15830
352,1996,Feb,Mon,F,20403
353,1996,Feb,Mon,M,21272
354,1996,Feb,Tue,F,22561
355,1996,Feb,Tue,M,23513
356,1996,Feb,Wed,F,22706
357,1996,Feb,Wed,M,23610
358,1996,Feb,Thu,F,27563
359,1996,Feb,Thu,M,29250
360,1996,Feb,Fri,F,22423
361,1996,Feb,Fri,M,23615
